
0	0	0
0.0001248	0	0
0.0002496	0	0
0.0003744	0	0
0.0004992	0	0
0.000624	0	0
0.0007488	0	0
0.0008736	0	0
0.0009984	-7	-5
0.0011232	8	8
0.001248	-8	-8
0.0013728	8	8
0.0014976	-9	-16
0.0016224	16	16
0.0017472	-16	-24
0.001872	24	29
0.0019968	-25	-37
0.0021216	32	41
0.0022464	-40	-54
0.0023712	49	64
0.002496	-60	-77
0.0026208	72	93
0.0027456	-83	-108
0.0028704	97	127
0.0029952	-118	-149
0.00312	136	174
0.0032448	-158	-201
0.0033696	179	233
0.0034944	-208	-269
0.0036192	240	309
0.003744	-272	-352
0.0038688	310	403
0.0039936	-352	-455
0.0041184	400	516
0.0042432	-448	-583
0.004368	505	656
0.0044928	-563	-736
0.0046176	633	826
0.0047424	-705	-922
0.0048672	787	1029
0.004992	-876	-1145
0.0051168	971	1273
0.0052416	-1078	-1411
0.0053664	1194	1564
0.0054912	-1321	-1731
0.005616	1459	1912
0.0057408	-1612	-2110
0.0058656	1779	2329
0.0059904	-1959	-2570
0.0061152	2163	2834
0.00624	-2383	-3124
0.0063648	2631	3445
0.0064896	-2906	-3807
0.0066144	3216	4209
0.0067392	-3562	-4661
0.006864	3960	5176
0.0069888	-4420	-5766
0.0071136	4950	6451
0.0072384	-5581	-7256
0.0073632	6339	8222
0.007488	-7275	-9399
0.0076128	8461	10879
0.0077376	-10017	-12802
0.0078624	12163	15413
0.0079872	-15328	-19189
0.008112	20474	25163
0.0082368	-30269	-36139
0.0083616	55699	63318
0.0084864	-336857	-402321
0.0086112	-436333	-176185
0.008736	156739	76783
0.0088608	271694	-251281
0.0089856	151820	-157984
0.0091104	188984	33284
0.0092352	298220	81575
0.00936	157398	85583
0.0094848	129291	237927
0.0096096	111177	129980
0.0097344	-149695	43639
0.0098592	-352612	215891
0.009984	-169928	287944
0.0101088	-103876	8139
0.0102336	-237945	-86892
0.0103584	-130314	-24334
0.0104832	103585	-222748
0.010608	-28918	-432333
0.0107328	-131071	-201942
0.0108576	128249	-12379
0.0109824	268505	-124602
0.0111072	100830	-72682
0.011232	133593	190843
0.0113568	259981	176969
0.0114816	98753	99742
0.0116064	-35742	258586
0.0117312	102218	238683
0.011856	-22904	-88641
0.0119808	-410590	-84713
0.0121056	-392545	206011
0.0122304	-57191	129066
0.0123552	-15892	-181835
0.01248	-110961	-210312
0.0126048	1177	-155544
0.0127296	79830	-208253
0.0128544	79071	-121655
0.0129792	239311	-25453
0.013104	274841	-160514
0.0132288	-17235	-107005
0.0133536	-87663	283321
0.0134784	197992	383382
0.0136032	190861	98225
0.013728	-113467	68744
0.0138528	-118743	214231
0.0139776	-8671	34351
0.0141024	-209608	-162810
0.0142272	-321886	-18318
0.014352	-88804	18288
0.0144768	-1647	-201154
0.0146016	-112883	-191888
0.0147264	23359	-16535
0.0148512	221681	-83515
0.014976	154414	-139331
0.0151008	137432	24153
0.0152256	264810	19208
0.0153504	96123	-109484
0.0154752	-177669	100508
0.0156	-60178	372199
0.0157248	129647	220167
0.0158496	-34246	5321
0.0159744	-174705	69576
0.0160992	-81295	48142
0.016224	-108207	-105923
0.0163488	-165145	-64321
0.0164736	16415	-57333
0.0165984	53152	-288907
0.0167232	-196218	-242386
0.016848	-113555	135693
0.0169728	298479	154982
0.0170976	320711	-155730
0.0172224	34175	-117130
0.0173472	44585	123900
0.017472	147975	76659
0.0175968	-15275	6197
0.0177216	-105013	147881
0.0178464	-12773	143407
0.0179712	-93183	12416
0.018096	-198533	95734
0.0182208	-30437	137363
0.0183456	51916	-94449
0.0184704	-113196	-174911
0.0185952	-72622	-39594
0.01872	100236	-143247
0.0188448	-48019	-281067
0.0189696	-181543	-17813
0.0190944	108605	201807
0.0192192	311742	-11195
0.019344	99499	-123750
0.0194688	2203	89196
0.0195936	134338	133413
0.0197184	62238	15009
0.0198432	-74776	90495
0.019968	-4397	116248
0.0200928	-73615	-62598
0.0202176	-313854	7060
0.0203424	-184692	258317
0.0204672	154322	90671
0.020592	78606	-263001
0.0207168	-155301	-216021
0.0208416	-53486	-47628
0.0209664	80780	-123068
0.0210912	7736	-124340
0.021216	61897	24358
0.0213408	171171	-13932
0.0214656	34529	-35883
0.0215904	-13015	199726
0.0217152	215130	241534
0.02184	191245	-34213
0.0219648	-127367	-46901
0.0220896	-153344	165246
0.0222144	-13179	64089
0.0223392	-181766	-103631
0.022464	-294807	74496
0.0225888	-21675	146323
0.0227136	116460	-138502
0.0228384	-64698	-240762
0.0229632	-46811	-69167
0.023088	134488	-86183
0.0232128	97007	-167913
0.0233376	47130	-30652
0.0234624	160865	25008
0.0235872	74177	-49673
0.023712	-106123	154678
0.0238368	79040	380990
0.0239616	278745	143462
0.0240864	5062	-127498
0.0242112	-269989	27740
0.024336	-151723	150179
0.0244608	-83723	-28412
0.0245856	-194297	-85342
0.0247104	-110855	-20362
0.0248352	3960	-154348
0.02496	-90139	-187029
0.0250848	-2166	28774
0.0252096	311846	-9468
0.0253344	271703	-268018
0.0254592	-19369	-149101
0.025584	28792	167320
0.0257088	180865	136144
0.0258336	9046	62604
0.0259584	-105820	254943
0.0260832	53660	269267
0.026208	10197	19919
0.0263328	-216252	-13014
0.0264576	-169470	71521
0.0265824	-53808	-91875
0.0267072	-157055	-217198
0.026832	-142479	-108292
0.0269568	45061	-131804
0.0270816	16652	-224121
0.0272064	-28363	-6900
0.0273312	267364	157407
0.027456	423451	-83598
0.0275808	102562	-186900
0.0277056	-88232	132704
0.0278304	76728	277658
0.0279552	61345	113615
0.02808	-140664	116473
0.0282048	-128963	182531
0.0283296	-106942	29912
0.0284544	-245862	-19745
0.0285792	-142136	85616
0.028704	113531	-101917
0.0288288	6301	-397060
0.0289536	-206369	-253525
0.0290784	-16580	5453
0.0292032	209069	-68727
0.029328	119562	-101936
0.0294528	115537	100208
0.0295776	256777	121127
0.0297024	147931	14793
0.0298272	-34154	147195
0.029952	41671	236036
0.0300768	19336	40221
0.0302016	-236122	-5866
0.0303264	-255160	153758
0.0304512	-81170	49611
0.030576	-156641	-139991
0.0307008	-200268	-23747
0.0308256	96675	3970
0.0309504	212404	-299907
0.0310752	-43217	-352081
0.0312	-68221	-27778
0.0313248	202471	74848
0.0314496	213957	-46112
0.0315744	67130	48820
0.0316992	96936	179305
0.031824	70154	125207
0.0319488	-74007	179098
0.0320736	3730	260443
0.0321984	87207	12711
0.0323232	-196793	-205791
0.032448	-395320	-2964
0.0325728	-144791	131721
0.0326976	34363	-104088
0.0328224	-73697	-200725
0.0329472	-10502	-59552
0.033072	178614	-112682
0.0331968	108473	-192234
0.0333216	53458	-4922
0.0334464	222959	77255
0.0335712	182245	-74818
0.033696	-84520	23563
0.0338208	-59836	283613
0.0339456	100076	207006
0.0340704	-44014	38659
0.0341952	-154120	136227
0.03432	7025	106583
0.0344448	-15694	-175079
0.0345696	-258016	-185129
0.0346944	-190165	26333
0.0348192	56666	-39966
0.034944	32161	-192578
0.0350688	-22027	-79652
0.0351936	122213	-3902
0.0353184	133038	-75656
0.0354432	50111	37729
0.035568	188389	142500
0.0356928	226568	-66139
0.0358176	-109171	-121965
0.0359424	-247155	212096
0.0360672	32973	311384
0.036192	95102	19306
0.0363168	-135130	-58505
0.0364416	-130283	74197
0.0365664	5733	-25458
0.0366912	-81902	-138855
0.036816	-90319	-31595
0.0369408	85633	-65797
0.0370656	29286	-228845
0.0371904	-137904	-80858
0.0373152	32157	148212
0.03744	232722	33308
0.0375648	97141	-78076
0.0376896	23118	77204
0.0378144	145139	82686
0.0379392	39553	-74245
0.038064	-169468	44049
0.0381888	-57117	211570
0.0383136	63157	45409
0.0384384	-110302	-72538
0.0385632	-160755	77978
0.038688	22220	55231
0.0388128	4246	-123078
0.0389376	-95998	-59025
0.0390624	70095	5172
0.0391872	125212	-205674
0.039312	-134363	-207774
0.0394368	-130884	127218
0.0395616	194753	174340
0.0396864	218095	-82721
0.0398112	-9623	-61144
0.039936	5834	116446
0.0400608	84991	65363
0.0401856	-23381	25722
0.0403104	-27362	110015
0.0404352	40604	6284
