
0	0	0
0.0001248	0	0
0.0002496	0	0
0.0003744	0	0
0.0004992	0	0
0.000624	0	0
0.0007488	-8	0
0.0008736	0	8
0.0009984	-8	-8
0.0011232	8	8
0.001248	-16	-16
0.0013728	16	16
0.0014976	-16	-24
0.0016224	24	24
0.0017472	-32	-32
0.001872	40	48
0.0019968	-48	-56
0.0021216	56	70
0.0022464	-68	-80
0.0023712	84	100
0.002496	-100	-120
0.0026208	117	144
0.0027456	-137	-168
0.0028704	164	200
0.0029952	-193	-235
0.00312	221	276
0.0032448	-256	-320
0.0033696	294	367
0.0034944	-342	-425
0.0036192	393	486
0.003744	-445	-560
0.0038688	506	635
0.0039936	-571	-720
0.0041184	649	815
0.0042432	-733	-923
0.004368	822	1040
0.0044928	-921	-1164
0.0046176	1034	1305
0.0047424	-1154	-1460
0.0048672	1285	1629
0.004992	-1428	-1813
0.0051168	1584	2013
0.0052416	-1758	-2233
0.0053664	1946	2474
0.0054912	-2151	-2740
0.005616	2376	3027
0.0057408	-2620	-3340
0.0058656	2892	3687
0.0059904	-3190	-4067
0.0061152	3516	4486
0.00624	-3876	-4945
0.0063648	4279	5453
0.0064896	-4728	-6021
0.0066144	5229	6659
0.0067392	-5797	-7372
0.006864	6443	8182
0.0069888	-7194	-9108
0.0071136	8065	10186
0.0072384	-9097	-11452
0.0073632	10343	12961
0.007488	-11882	-14800
0.0076128	13841	17103
0.0077376	-16423	-20084
0.0078624	19988	24103
0.0079872	-25263	-29856
0.008112	33860	38832
0.0082368	-50220	-54951
0.0083616	92301	93289
0.0084864	-510391	-531219
0.0086112	-591373	276
0.008736	660051	72951
0.0088608	369546	-844518
0.0089856	-222134	-130367
0.0091104	451772	478357
0.0092352	790793	-148205
0.00936	-211423	-190383
0.0094848	-198645	859747
0.0096096	586699	545118
0.0097344	-3015	-339053
0.0098592	-886386	182793
0.009984	-193818	688383
0.0101088	177626	-270755
0.0102336	-613079	-541663
0.0103584	-458986	194051
0.0104832	476089	-159608
0.010608	61036	-904054
0.0107328	-444345	-133935
0.0108576	476225	437670
0.0109824	843766	-358855
0.0111072	-111122	-383656
0.011232	-100336	633694
0.0113568	621984	433301
0.0114816	50247	-223977
0.0116064	-596799	397025
0.0117312	102769	688065
0.011856	194067	-302946
0.0119808	-771414	-370675
0.0121056	-529929	464287
0.0122304	415256	-1478
0.0123552	-31969	-815263
0.01248	-518863	-163573
0.0126048	329029	246555
0.0127296	553894	-502857
0.0128544	-246674	-333022
0.0129792	65769	592054
0.013104	803425	155821
0.0132288	55690	-463813
0.0133536	-572621	375656
0.0134784	227197	751646
0.0136032	335933	-196800
0.013728	-592911	-219970
0.0138528	-354695	514564
0.0139776	362344	-30278
0.0141024	-268256	-662798
0.0142272	-622607	121233
0.014352	377473	352720
0.0144768	500076	-617047
0.0146016	-430391	-457817
0.0147264	-100086	505199
0.0148512	692910	95024
0.014976	55469	-478308
0.0151008	-399351	302191
0.0152256	393978	521500
0.0153504	320852	-372333
0.0154752	-624799	-152021
0.0156	-215759	687837
0.0157248	559617	54887
0.0158496	-154361	-632260
0.0159744	-613226	146692
0.0160992	259787	395994
0.016224	325198	-453857
0.0163488	-465031	-250174
0.0164736	-29313	507025
0.0165984	616118	-92966
0.0167232	-167597	-587497
0.016848	-534056	314510
0.0169728	397859	506664
0.0170976	393099	-436089
0.0172224	-488543	-260147
0.0173472	-118500	499245
0.017472	502990	-51493
0.0175968	-181836	-487240
0.0177216	-412612	332252
0.0178464	482935	384055
0.0179712	326322	-513964
0.018096	-566752	-162764
0.0182208	-96292	648007
0.0183456	545997	30339
0.0184704	-196633	-459935
0.0185952	-483624	297371
0.01872	311769	307523
0.0188448	120529	-529020
0.0189696	-619465	-147172
0.0190944	14686	510142
0.0192192	625781	-252715
0.019344	-188955	-663727
0.0194688	-395640	271934
0.0195936	526535	362913
0.0197184	373312	-430323
0.0198432	-392403	-15380
0.019968	127972	639142
0.0200928	528335	-65051
0.0202176	-391856	-346332
0.0203424	-543850	572296
0.0204672	383843	432031
0.020592	96688	-570662
0.0207168	-742004	-207137
0.0208416	-127286	431186
0.0209664	443919	-314917
0.0210912	-275429	-625306
0.021216	-266014	244972
0.0213408	676575	125697
0.0214656	339959	-664331
0.0215904	-438184	-14188
0.0217152	251664	750648
0.02184	727960	-2673
0.0219648	-227483	-308503
0.0220896	-451642	586201
0.0222144	321316	457421
0.0223392	-67973	-393917
0.022464	-787098	59202
0.0225888	-63051	515116
0.0227136	375243	-433814
0.0228384	-499562	-726692
0.0229632	-452615	219187
0.023088	588287	94022
0.0232128	360780	-713008
0.0233376	-299238	-143480
0.0234624	367126	496705
0.0235872	686613	-167197
0.023712	-226530	-200898
0.0238368	-224664	753488
0.0239616	571023	481836
0.0240864	5357	-386193
0.0242112	-814086	154297
0.024336	-149281	638093
0.0244608	226624	-252743
0.0245856	-558240	-519264
0.0247104	-416281	217283
0.0248352	458484	-128995
0.02496	52701	-829388
0.0250848	-441599	-93076
0.0252096	460672	441500
0.0253344	792310	-367767
0.0254592	-148184	-373975
0.025584	-118657	620886
0.0257088	614959	414733
0.0258336	43117	-246502
0.0259584	-589144	380516
0.0260832	105085	671052
0.026208	196509	-302874
0.0263328	-764173	-363938
0.0264576	-511981	471774
0.0265824	425743	-14566
0.0267072	-38500	-828530
0.026832	-535106	-168582
0.0269568	328273	258645
0.0270816	576395	-505751
0.0272064	-229940	-347332
0.0273312	72026	587446
0.027456	820866	173420
0.0275808	78757	-448538
0.0277056	-572595	392461
0.0278304	219225	788107
0.0279552	338575	-164805
0.02808	-616284	-223940
0.0282048	-416915	517610
0.0283296	315033	-10517
0.0284544	-274417	-677957
0.0285792	-638874	61705
0.028704	349035	301290
0.0288288	512977	-651321
0.0289536	-388857	-506986
0.0290784	-69141	470045
0.0292032	741838	106072
0.029328	135743	-457763
0.0294528	-350829	316410
0.0295776	389523	579488
0.0297024	326013	-274017
0.0298272	-613330	-88090
0.029952	-262947	708344
0.0300768	468030	84881
0.0302016	-227164	-616898
0.0303264	-673006	105887
0.0304512	191183	336029
0.030576	297847	-509267
0.0307008	-436039	-334126
0.0308256	5497	408792
0.0309504	656865	-143391
0.0310752	-75141	-583016
0.0312	-417309	319977
0.0313248	470497	530141
0.0314496	429834	-356404
0.0315744	-465028	-157950
0.0316992	-134002	585641
0.031824	439177	29167
0.0319488	-258152	-420914
0.0320736	-491981	338697
0.0321984	376180	341190
0.0323232	227886	-569916
0.032448	-611975	-239352
0.0325728	-93576	542718
0.0326976	578303	-78869
0.0328224	-128878	-547827
0.0329472	-398256	251604
0.033072	416384	312774
0.0331968	232452	-480746
0.0333216	-530188	-78005
0.0334464	50797	601749
0.0335712	614153	-138899
0.033696	-235909	-557625
0.0338208	-484532	344933
0.0339456	420135	410675
0.0340704	276806	-441473
0.0341952	-492025	-93368
0.03432	33328	548371
0.0344448	497999	-147514
0.0345696	-347602	-459204
0.0346944	-484357	446168
0.0348192	454338	369193
0.034944	216296	-574194
0.0350688	-618411	-194870
0.0351936	-55137	494838
0.0353184	504381	-182708
0.0354432	-226352	-517726
0.035568	-305606	315790
0.0356928	564234	223967
0.0358176	250971	-571809
0.0359424	-522643	-20733
0.0360672	124942	685936
0.036192	623794	-58883
0.0363168	-249326	-401222
0.0364416	-448552	446659
0.0365664	336742	365607
0.0366912	29579	-434128
0.036816	-644153	-2604
0.0369408	21740	482626
0.0370656	438093	-359743
0.0371904	-406317	-613396
0.0373152	-398969	299290
0.03744	556494	187415
0.0375648	303882	-600234
0.0376896	-363728	-84578
0.0378144	252728	500907
0.0379392	570542	-167399
0.038064	-285205	-247212
0.0381888	-265803	639324
0.0383136	525384	367863
0.0384384	14826	-460066
0.0385632	-738049	85760
0.038688	-61900	580230
0.0388128	315689	-263165
0.0389376	-462526	-490421
0.0390624	-348941	266832
0.0391872	483985	-41096
0.039312	61540	-725282
0.0394368	-459382	-18194
0.0395616	393230	493347
0.0396864	705606	-329339
0.0398112	-231278	-373935
0.039936	-198468	590774
0.0400608	563058	367714
0.0401856	41598	-325411
